date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:30	30593/30593	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Mar%202020%2016:12:27%20GMT	https://www.itthadclub.com/robots.txt		(from )
18:12:31	89535/89535	---M--	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202020%2016:12:27%20GMT	https://www.itthadclub.com/	C:/My%20Web%20Sites/ithad/www.itthadclub.com/index.html	(from )
18:12:32	82716/82716	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202015%2018:01:18%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/img/logo.png	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/img/logo.png	(from https://www.itthadclub.com/)
18:12:33	1981/1981	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Dec%202014%2000:49:10%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/css/normalize.css?1419295750	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/css/normalizef990.css	(from https://www.itthadclub.com/)
18:12:33	91496/91496	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2030%20Mar%202020%2016:12:30%20GMT	https://www.itthadclub.com/promoted.rss	C:/My%20Web%20Sites/ithad/www.itthadclub.com/promoted.rss	(from https://www.itthadclub.com/)
18:12:34	22044/22044	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Dec%202014%2000:55:30%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/css/fontawesome.css?1419296130	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/css/fontawesome2b47.css	(from https://www.itthadclub.com/)
18:12:34	12893/12893	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Dec%202014%2000:57:58%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/css/weather.css?1419296278	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/css/weather30cd.css	(from https://www.itthadclub.com/)
18:12:34	2239/2239	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Feb%202016%2023:30:16%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/css/colors.css?1454369416	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/css/colors989d.css	(from https://www.itthadclub.com/)
18:12:35	696/696	---M--	200	added ('OK')	text/css	date:Thu,%2021%20Jan%202016%2016:35:56%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/css/typography.css?1453394156	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/css/typography1407.css	(from https://www.itthadclub.com/)
18:12:35	91207/91207	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Feb%202016%2014:58:41%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/css/style_rtl.css?1454597921	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/css/style_rtl89a4.css	(from https://www.itthadclub.com/)
18:12:35	6834/6834	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Jan%202015%2001:20:56%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/css/responsive-0.css?1421457656	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/css/responsive-0776b.css	(from https://www.itthadclub.com/)
18:12:36	4742/4742	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Jan%202015%2001:21:00%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/css/responsive-768.css?1421457660	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/css/responsive-768f61b.css	(from https://www.itthadclub.com/)
18:12:36	12298/12298	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Jan%202015%2022:28:00%20GMT	https://www.itthadclub.com/theme/MessyBusinessNew/css/responsive-992.css?1422570480	C:/My%20Web%20Sites/ithad/www.itthadclub.com/theme/MessyBusinessNew/css/responsive-9928f03.css	(from https://www.itthadclub.com/)
